Feature,Importance
CO,0.3732937
PM2.5,0.31438377
Year,0.079095736
PM10,0.061949845
NO,0.037905257
NOx,0.020641867
O3,0.017358357
Toluene,0.015586283
Month,0.011784295
NO2,0.011725359
Xylene,0.011486793
SO2,0.011416329
City,0.010734992
Day,0.010728755
Benzene,0.006687568
NH3,0.005221076
